mnemonic,primary,subop,format,operands,operand_count,immediate_bits,semantics,modes,issue_slot,latency,initiation_interval,flags,exceptions,attributes,aliases
ROR,0x2,4,SHIFT,Rd/Ra|count,2,4,ROR by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,
MUL,0x3,0,RRR_OR_ACC,dst|Ra|Rb,3,0,full-width product,SCALAR32|PACKED16|PACKED8|PAIRED64,B,3,1,Z|N,,scoreboarded|multicycle,
MULH,0x3,1,RRR_OR_ACC,dst|Ra|Rb,3,0,high half of product,SCALAR32|PACKED16|PACKED8|SCALAR32,B,3,1,Z|N,,scoreboarded|multicycle,
MAC,0x3,2,RRR_OR_ACC,dst|Ra|Rb,3,0,A = A + Ra*Rb,SCALAR32|PACKED16|PACKED8|SCALAR32,B,3,1,Z|N,,scoreboarded|multicycle,
MAS,0x3,3,RRR_OR_ACC,dst|Ra|Rb,3,0,A = A - Ra*Rb,SCALAR32|PACKED16|PACKED8|SCALAR32,B,3,1,Z|N,,scoreboarded|multicycle,
DIVSTEP,0x3,4,RRR_OR_ACC,dst|Ra|Rb,3,0,one radix divide step,SCALAR32|PACKED16|PACKED8|SCALAR32,B,1,1,Z|N,,,
DIV,0x3,5,RRR_OR_ACC,dst|Ra|Rb,3,0,multi-cycle integer divide,SCALAR32|PACKED16|PACKED8|PAIRED64,B,16,16,Z|N,,scoreboarded|multicycle,
REDUCE.ADD,0x4,0,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with ADD; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.AND,0x4,1,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with AND; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.OR,0x4,2,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with OR; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.XOR,0x4,3,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with XOR; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.MIN,0x4,4,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with MIN; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.MAX,0x4,5,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with MAX; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.ABSMAX,0x4,6,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with ABSMAX; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
REDUCE.COUNT,0x4,7,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with COUNT; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
DOT,0x4,8,DSP_DOT,A0/A1|src0|src1|overwrite/fold|consume/local,5,0,Sum lane products into selected accumulator,PACKED16|PACKED8,B,3,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
SAD,0x4,9,DSP_SAD,A0/A1|src0|src1|overwrite/fold|consume/local,5,0,Sum absolute lane differences into selected accumulator,PACKED16|PACKED8,B,3,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,
PACK,0x5,0,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,PACK register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
UNPACK,0x5,1,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,UNPACK register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
ZIP,0x5,2,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,ZIP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
UNZIP,0x5,3,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,UNZIP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
BSWAP,0x5,4,RR_OR_UNARY,Rd|Rs/Ra|Rb?,2,0,BSWAP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
WSWAP,0x5,5,RR_OR_UNARY,Rd|Rs/Ra|Rb?,2,0,WSWAP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
SHUFFLE,0x5,6,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,4,SHUFFLE register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
MOV,0x5,7,RR_OR_UNARY,Rd|Rs/Ra|Rb?,2,0,MOV register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,
ZEXT8,0x5,8,RR_OR_UNARY,Rd|Rs,2,0,Rd = zero_extend(Rs[7:0]),SCALAR32,A,1,1,Z|N,,register_only,
SEXT8,0x5,9,RR_OR_UNARY,Rd|Rs,2,0,Rd = sign_extend(Rs[7:0]),SCALAR32,A,1,1,Z|N,,register_only,
ZEXT16,0x5,10,RR_OR_UNARY,Rd|Rs,2,0,Rd = zero_extend(Rs[15:0]),SCALAR32,A,1,1,Z|N,,register_only,
SEXT16,0x5,11,RR_OR_UNARY,Rd|Rs,2,0,Rd = sign_extend(Rs[15:0]),SCALAR32,A,1,1,Z|N,,register_only,
LD,0x6,0,MEM,Rd|[base+offset],2,0,Load scalar or pair according to mode,SCALAR32|LOW16|LOW8|PAIRED64,B,2,1,,alignment|access_fault,scoreboarded|ordered_memory,
ST,0x7,0,MEM,Rs|[base+offset],2,0,Store scalar or pair according to mode,SCALAR32|LOW16|LOW8|PAIRED64,B,1,1,,alignment|access_fault,ordered_memory|store_order_barrier,
B.EQ,0x8,0,BR,target,1,8,Conditional branch EQ,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.NE,0x8,1,BR,target,1,8,Conditional branch NE,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.LT,0x8,2,BR,target,1,8,Conditional branch LT,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.GE,0x8,3,BR,target,1,8,Conditional branch GE,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.LTU,0x8,4,BR,target,1,8,Conditional branch LTU,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.GEU,0x8,5,BR,target,1,8,Conditional branch GEU,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.MI,0x8,6,BR,target,1,8,Conditional branch MI,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
B.PL,0x8,7,BR,target,1,8,Conditional branch PL,SCALAR32,A,1,1,,branch_target_fault,control_barrier,
CALL,0x9,0,CTRL,target/reg,1,8,R13 = return address; PC = target,SCALAR32,A,1,1,,,control_barrier,
JMP,0x9,1,CTRL,target/reg,1,8,PC = target,SCALAR32,A,1,1,,,control_barrier,
RET,0x9,2,CTRL,,0,0,PC = R13,SCALAR32,A,1,1,,,control_barrier,
JMPR,0x9,3,CTRL,target/reg,1,0,PC = register,SCALAR32,A,1,1,,,control_barrier,
PUSH,0xA,0,STACK,reg/mask,1,0,PUSH using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,
POP,0xA,1,STACK,reg/mask,1,0,POP using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,
PUSHM,0xA,2,STACK,reg/mask,1,0,PUSHM using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,
POPM,0xA,3,STACK,reg/mask,1,0,POPM using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,
QMASK,0xB,0,STREAM,Q0/Q1|args,2,6,QMASK stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|control_barrier,
QPEEK,0xB,1,STREAM,Q0/Q1|args,2,6,QPEEK stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|scoreboarded,
QPUSH,0xB,2,STREAM,Q0/Q1|args,2,6,QPUSH stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,
QPOP,0xB,3,STREAM,Q0/Q1|args,2,6,QPOP stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,
QDUP,0xB,4,STREAM,Q0/Q1|args,2,6,QDUP stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|scoreboarded,
QREPL,0xB,5,STREAM,Q0/Q1|args,2,6,QREPL stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|scoreboarded,
QCFG,0xB,6,STREAM,Q0/Q1|args,3,6,QCFG stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,
QCIRC,0xB,7,STREAM,Q0/Q1|args,2,6,QCIRC stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,
QSTEP,0xB,8,STREAM_QSTEP,Qn,1,0,Advance pinned-stream phase without transferring data,SCALAR32,B,1,1,,stream_config,stream_state,
LOOPSET,0xC,0,LOOP_AGU,args,,,LOOPSET low-overhead loop or address-generation control,SCALAR32,A,1,1,,,control_barrier,
LOOPEND,0xC,1,LOOP_AGU,args,,,LOOPEND low-overhead loop or address-generation control,SCALAR32,A,1,1,,,control_barrier,
AGUCFG,0xC,2,LOOP_AGU,args,,,AGUCFG low-overhead loop or address-generation control,SCALAR32,A,1,1,,,,
STRIDE,0xC,3,LOOP_AGU,args,,,STRIDE low-overhead loop or address-generation control,SCALAR32,A,1,1,,,,
MRS,0xD,0,SYSTEM,args,2,6,MRS system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
MSR,0xD,1,SYSTEM,args,2,6,MSR system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
EI,0xD,2,SYSTEM,args,0,0,EI system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
DI,0xD,3,SYSTEM,args,0,0,DI system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
IRET,0xD,4,SYSTEM,args,0,0,IRET system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
ASCALL,0xD,5,SYSTEM,args,1,6,ASCALL system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
TIMERLOAD,0xD,6,SYSTEM,args,1,6,TIMERLOAD system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
TIMERVEC,0xD,7,SYSTEM,args,1,6,TIMERVEC system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
TIMERCTL,0xD,8,SYSTEM,args,1,6,TIMERCTL system operation,SCALAR32,A,1,1,,privilege_fault,privileged,
RDCYCLE,0xD,9,SYSTEM,args,1,0,RDCYCLE system operation,SCALAR32,A,1,1,,,special_register_read,
MODE,0xD,10,MODE_IMM,mode3,1,3,ARITH_MODE = mode3; later mode-sensitive operations use the selected scalar/packed/low-lane/paired mode,SCALAR32,A,1,1,,,,MODECLR = MODE #SCALAR32
WFI,0xD,11,SYSTEM_NONE,,0,0,Retire older instructions and wait until an enabled interrupt is serviceable,SCALAR32,A,1,1,,,serializing,
WFE,0xD,12,SYSTEM_NONE,,0,0,Retire older instructions and wait for an architectural event,SCALAR32,A,1,1,,,serializing,
HALT,0xD,13,SYSTEM_NONE,,0,0,"Privileged halt until allowed wake, debug, or reset",SCALAR32,A,1,1,,privilege_fault,privileged|serializing,
CTXSAVE,0xD,14,SYSTEM_CTX,Rbase|mask,2,8,Privileged atomic context save using the shared stream-style memory path,SCALAR32,A,4,1,,privilege_fault|alignment|access_fault,privileged|ordered_memory|serializing,
CTXRESTORE,0xD,15,SYSTEM_CTX,Rbase|mask,2,8,Privileged atomic context restore; PSR and PC commit last,SCALAR32,A,4,1,,privilege_fault|alignment|access_fault,privileged|ordered_memory|serializing,
EXT,0xE,0,EXT,extension_word,1,12,"Extension escape for long immediates, masks, addresses, and system forms",SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,prefix,
CUSTOM,0xF,0,CUSTOM,implementation_defined,1,12,Reserved implementation/profile extension,SCALAR32,A,1,1,,illegal_instruction,reserved,
