primary,subop,bytecode_key,mnemonic,format,operands,semantics,aliases
0xB,2,0xB2,QPUSH,STREAM,Q0/Q1 args,QPUSH stream/queue operation,
0xB,3,0xB3,QPOP,STREAM,Q0/Q1 args,QPOP stream/queue operation,
0xB,4,0xB4,QDUP,STREAM,Q0/Q1 args,QDUP stream/queue operation,
0xB,5,0xB5,QREPL,STREAM,Q0/Q1 args,QREPL stream/queue operation,
0xB,6,0xB6,QCFG,QCFG_FIELD,Qn field Rs/imm,"Write one stream-state field selected by field; includes ADDR, INNER_STRIDE, INNER_COUNT, OUTER_ADJUST, OUTER_COUNT, WIDTH, and END_MODE",QSETADDR|QSETSTRIDE|QSETCOUNT|QSETROWADJ|QSETROWS|QSETWIDTH|QSETEND
0xB,7,0xB7,QCIRC,STREAM,Q0/Q1 args,Configure circular base/mask behavior; compatible with 1D or 2D stream stepping,
0xC,0,0xC0,LOOPSET,LOOP_AGU,args,LOOPSET low-overhead loop or address-generation control,
0xC,1,0xC1,LOOPEND,LOOP_AGU,args,LOOPEND low-overhead loop or address-generation control,
0xC,2,0xC2,AGUCFG,LOOP_AGU,args,AGUCFG low-overhead loop or address-generation control,
0xC,3,0xC3,STRIDE,LOOP_AGU,args,STRIDE low-overhead loop or address-generation control,
0xD,0,0xD0,MRS,SYSTEM,args,MRS system operation,
0xD,1,0xD1,MSR,SYSTEM,args,MSR system operation,
0xD,2,0xD2,EI,SYSTEM,args,EI system operation,
0xD,3,0xD3,DI,SYSTEM,args,DI system operation,
0xD,4,0xD4,IRET,SYSTEM,args,IRET system operation,
0xD,5,0xD5,ASCALL,SYSTEM,args,ASCALL system operation,
0xD,6,0xD6,TIMERLOAD,SYSTEM,args,TIMERLOAD system operation,
0xD,7,0xD7,TIMERVEC,SYSTEM,args,TIMERVEC system operation,
0xD,8,0xD8,TIMERCTL,SYSTEM,args,TIMERCTL system operation,
0xD,9,0xD9,RDCYCLE,SYSTEM,args,RDCYCLE system operation,
0xD,10,0xDA,MODE,MODE_IMM,mode3,ARITH_MODE = mode3; later mode-sensitive operations use the selected scalar/packed/low-lane/paired mode,MODECLR = MODE #SCALAR32
0xD,11,0xDB,WFI,SYSTEM_NONE,-,Retire older instructions and wait until an enabled interrupt is serviceable,
0xD,12,0xDC,WFE,SYSTEM_NONE,-,Retire older instructions and wait for an architectural event,
0xD,13,0xDD,HALT,SYSTEM_NONE,-,"Privileged halt until allowed wake, debug, or reset",
0xD,14,0xDE,CTXSAVE,SYSTEM_CTX,Rbase mask,Privileged atomic context save using the shared stream-style memory path,
0xD,15,0xDF,CTXRESTORE,SYSTEM_CTX,Rbase mask,Privileged atomic context restore; PSR and PC commit last,
0xE,0,0xE0,EXT,EXT,extension_word,"Extension escape for long immediates, masks, addresses, and system forms",
0xF,0,0xF0,CUSTOM,CUSTOM,implementation_defined,Reserved implementation/profile extension,
