mnemonic,primary,subop,format,operands,operand_count,immediate_bits,semantics,modes,issue_slot,latency,initiation_interval,flags,exceptions,attributes,aliases,operand_spec_confidence,encoding_spec_confidence,semantic_spec_confidence,sources,notes
LSR,0x2,1,SHIFT,Rd/Ra|count,2,4,LSR by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
ASR,0x2,2,SHIFT,Rd/Ra|count,2,4,ASR by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
ROL,0x2,3,SHIFT,Rd/Ra|count,2,4,ROL by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
ROR,0x2,4,SHIFT,Rd/Ra|count,2,4,ROR by immediate or register count,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,2,1,Z|N|C,,honors_lane_mask|paired64_multicycle,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
MUL,0x3,0,RRR_OR_ACC,dst|Ra|Rb,3,0,full-width product,SCALAR32|PACKED16|PACKED8|PAIRED64,B,3,1,Z|N,,scoreboarded|multicycle,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.5 (worked example DIVSTEP R1,R1,R2 = 0x3412); MUL/MULH/MAC/MAS share the same physical layout, differing only in subop and accumulator semantics",
MULH,0x3,1,RRR_OR_ACC,dst|Ra|Rb,3,0,high half of product,SCALAR32|PACKED16|PACKED8|SCALAR32,B,3,1,Z|N,,scoreboarded|multicycle,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.5 (worked example DIVSTEP R1,R1,R2 = 0x3412); MUL/MULH/MAC/MAS share the same physical layout, differing only in subop and accumulator semantics",
MAC,0x3,2,RRR_ACC,accumulator|Ra|Rb,3,0,A = A + Ra*Rb,SCALAR32|PACKED16|PACKED8|SCALAR32,B,3,1,Z|N,,scoreboarded|multicycle,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.5 (worked example DIVSTEP R1,R1,R2 = 0x3412); MAC/MAS share the same physical primary/subop numbering as MUL/MULH/DIVSTEP/DIV|ADR-DSP-018","accumulator operand is bit 11 (acc_sel: 0=A0, 1=A1) - the previously-unused MSB of the RRR_OR_ACC-family subop nibble (subop values 0-5 fit in 3 bits, so bit 11 was always reserved/0). Resolved and locked per ADR-DSP-018 (amended 2026-08-04); format RRR_ACC. Ra/Rb are independent 4-bit register operands, unlike the 2-address Rd=Ra convention MUL/MULH/DIVSTEP/DIV use."
MAS,0x3,3,RRR_ACC,accumulator|Ra|Rb,3,0,A = A - Ra*Rb,SCALAR32|PACKED16|PACKED8|SCALAR32,B,3,1,Z|N,,scoreboarded|multicycle,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.5 (worked example DIVSTEP R1,R1,R2 = 0x3412); MAC/MAS share the same physical primary/subop numbering as MUL/MULH/DIVSTEP/DIV|ADR-DSP-018","accumulator operand is bit 11 (acc_sel: 0=A0, 1=A1) - the previously-unused MSB of the RRR_OR_ACC-family subop nibble (subop values 0-5 fit in 3 bits, so bit 11 was always reserved/0). Resolved and locked per ADR-DSP-018 (amended 2026-08-04); format RRR_ACC. Ra/Rb are independent 4-bit register operands, unlike the 2-address Rd=Ra convention MUL/MULH/DIVSTEP/DIV use."
DIVSTEP,0x3,4,RRR_OR_ACC,dst|Ra|Rb,3,0,one radix divide step,SCALAR32|PACKED16|PACKED8|SCALAR32,B,1,1,Z|N,,,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.5 (worked example DIVSTEP R1,R1,R2 = 0x3412); MUL/MULH/MAC/MAS share the same physical layout, differing only in subop and accumulator semantics",
DIV,0x3,5,RRR_OR_ACC,dst|Ra|Rb,3,0,multi-cycle integer divide,SCALAR32|PACKED16|PACKED8|PAIRED64,B,16,16,Z|N,,scoreboarded|multicycle,,documented,documented,documented,"AUR-ARCH-005 v1.2d Sec.5 (worked example DIVSTEP R1,R1,R2 = 0x3412); MUL/MULH/MAC/MAS share the same physical layout, differing only in subop and accumulator semantics",
REDUCE.ADD,0x4,0,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with ADD; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.AND,0x4,1,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with AND; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.OR,0x4,2,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with OR; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.XOR,0x4,3,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with XOR; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.MIN,0x4,4,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with MIN; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.MAX,0x4,5,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with MAX; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.ABSMAX,0x4,6,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with ABSMAX; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
REDUCE.COUNT,0x4,7,DSP_RED,A0/A1|src|overwrite/fold|consume/local,4,0,Reduce active lanes with COUNT; fold form combines with accumulator using operator-specific rule,PACKED16|PACKED8,B,2,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists REDUCE.* at the mnemonic+opcode level only (Sec.4, 0x40/0x41); no sub-byte field diagram is published",
DOT,0x4,8,DSP_DOT,A0/A1|src0|src1|overwrite/fold|consume/local,5,0,Sum lane products into selected accumulator,PACKED16|PACKED8,B,3,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists DOT at the mnemonic+opcode level only (Sec.4, 0x48); needs two source operands, which do not fit in the 8 bits remaining after subop",
SAD,0x4,9,DSP_SAD,A0/A1|src0|src1|overwrite/fold|consume/local,5,0,Sum absolute lane differences into selected accumulator,PACKED16|PACKED8,B,3,1,,,scoreboarded|stream_override|accumulator_select|fold_capable,,inferred,inferred,inferred,"AUR-ARCH-005 lists SAD at the mnemonic+opcode level only (Sec.4, 0x49); same two-source constraint as DSP_DOT",
PACK,0x5,0,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,PACK register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
UNPACK,0x5,1,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,UNPACK register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
ZIP,0x5,2,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,ZIP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
UNZIP,0x5,3,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,0,UNZIP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
BSWAP,0x5,4,RR_OR_UNARY,Rd|Rs/Ra|Rb?,2,0,BSWAP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
WSWAP,0x5,5,RR_OR_UNARY,Rd|Rs/Ra|Rb?,2,0,WSWAP register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
SHUFFLE,0x5,6,RR_OR_UNARY,Rd|Rs/Ra|Rb?,3,4,SHUFFLE register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
MOV,0x5,7,RR_OR_UNARY,Rd|Rs/Ra|Rb?,2,0,MOV register layout operation,SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,register_only|ignores_lane_mask|dynamic_pairing_candidate,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
ZEXT8,0x5,8,RR_OR_UNARY,Rd|Rs,2,0,Rd = zero_extend(Rs[7:0]),SCALAR32,A,1,1,Z|N,,register_only,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
SEXT8,0x5,9,RR_OR_UNARY,Rd|Rs,2,0,Rd = sign_extend(Rs[7:0]),SCALAR32,A,1,1,Z|N,,register_only,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
ZEXT16,0x5,10,RR_OR_UNARY,Rd|Rs,2,0,Rd = zero_extend(Rs[15:0]),SCALAR32,A,1,1,Z|N,,register_only,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
SEXT16,0x5,11,RR_OR_UNARY,Rd|Rs,2,0,Rd = sign_extend(Rs[15:0]),SCALAR32,A,1,1,Z|N,,register_only,,inferred,inferred,inferred,"AUR-ARCH-005 lists PACK/UNPACK/ZIP/UNZIP/BSWAP/WSWAP/SHUFFLE/MOV at the mnemonic+opcode level only, but the 'Extension and Bounds Faults v1.2f' addendum gives a normative worked layout for the same family's ZEXT8/SEXT8/ZEXT16/SEXT16 (Rd, Rs two-register form) which is reused here for consistency",
LD,0x6,0,MEM,Rd|[base+offset],2,0,Load scalar or pair according to mode,SCALAR32|LOW16|LOW8|PAIRED64,B,2,1,,alignment|access_fault,scoreboarded|ordered_memory,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
ST,0x7,0,MEM,Rs|[base+offset],2,0,Store scalar or pair according to mode,SCALAR32|LOW16|LOW8|PAIRED64,B,1,1,,alignment|access_fault,ordered_memory|store_order_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams,
B.EQ,0x8,0,BR,target,1,8,Conditional branch EQ,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.NE,0x8,1,BR,target,1,8,Conditional branch NE,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.LT,0x8,2,BR,target,1,8,Conditional branch LT,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.GE,0x8,3,BR,target,1,8,Conditional branch GE,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.LTU,0x8,4,BR,target,1,8,Conditional branch LTU,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.GEU,0x8,5,BR,target,1,8,Conditional branch GEU,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.MI,0x8,6,BR,target,1,8,Conditional branch MI,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
B.PL,0x8,7,BR,target,1,8,Conditional branch PL,SCALAR32,A,1,1,,branch_target_fault,control_barrier,,documented,documented,documented,AUR-ARCH-005 v1.2d Sec.3 Operand Format Diagrams; Sec.4 B.* inventory (0x80-0x87),
CALL,0x9,0,CTRL,target/reg,1,8,R13 = return address; PC = target,SCALAR32,A,1,1,,,control_barrier,,inferred,inferred,inferred,"AUR-ARCH-005 only lists CALL/JMP/RET/JMPR at the mnemonic+opcode level (Sec.4, 0x90-0x93); no sub-byte field diagram is published",
JMP,0x9,1,CTRL,target/reg,1,8,PC = target,SCALAR32,A,1,1,,,control_barrier,,inferred,inferred,inferred,"AUR-ARCH-005 only lists CALL/JMP/RET/JMPR at the mnemonic+opcode level (Sec.4, 0x90-0x93); no sub-byte field diagram is published",
RET,0x9,2,CTRL,,0,0,PC = R13,SCALAR32,A,1,1,,,control_barrier,,inferred,inferred,inferred,"AUR-ARCH-005 only lists CALL/JMP/RET/JMPR at the mnemonic+opcode level (Sec.4, 0x90-0x93); no sub-byte field diagram is published",
JMPR,0x9,3,CTRL,target/reg,1,0,PC = register,SCALAR32,A,1,1,,,control_barrier,,inferred,inferred,inferred,"AUR-ARCH-005 only lists CALL/JMP/RET/JMPR at the mnemonic+opcode level (Sec.4, 0x90-0x93); no sub-byte field diagram is published",
PUSH,0xA,0,STACK,reg/mask,1,0,PUSH using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,,inferred,inferred,inferred,"AUR-ARCH-005 only lists PUSH/POP/PUSHM/POPM at the mnemonic+opcode level (Sec.4, 0xA0-0xA3); no sub-byte field diagram is published",
POP,0xA,1,STACK,reg/mask,1,0,POP using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,,inferred,inferred,inferred,"AUR-ARCH-005 only lists PUSH/POP/PUSHM/POPM at the mnemonic+opcode level (Sec.4, 0xA0-0xA3); no sub-byte field diagram is published",
PUSHM,0xA,2,STACK,reg/mask,1,0,PUSHM using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,,inferred,inferred,inferred,"AUR-ARCH-005 only lists PUSH/POP/PUSHM/POPM at the mnemonic+opcode level (Sec.4, 0xA0-0xA3); no sub-byte field diagram is published",
POPM,0xA,3,STACK,reg/mask,1,0,POPM using R14 stack pointer,SCALAR32|PAIRED64,B,2,1,,alignment|access_fault,ordered_memory|extension_allowed,,inferred,inferred,inferred,"AUR-ARCH-005 only lists PUSH/POP/PUSHM/POPM at the mnemonic+opcode level (Sec.4, 0xA0-0xA3); no sub-byte field diagram is published",
QMASK,0xB,0,STREAM,Q0/Q1|args,2,6,QMASK stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|control_barrier,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QPEEK,0xB,1,STREAM,Q0/Q1|args,2,6,QPEEK stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QPUSH,0xB,2,STREAM,Q0/Q1|args,2,6,QPUSH stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QPOP,0xB,3,STREAM,Q0/Q1|args,2,6,QPOP stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QDUP,0xB,4,STREAM,Q0/Q1|args,2,6,QDUP stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QREPL,0xB,5,STREAM,Q0/Q1|args,2,6,QREPL stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,1,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QCFG,0xB,6,STREAM,Q0/Q1|args,3,6,QCFG stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QCIRC,0xB,7,STREAM,Q0/Q1|args,2,6,QCIRC stream/queue operation,SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded,,documented,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram,semantics field restates the mnemonic name only; behavior not documented
QSTEP,0xB,8,STREAM_QSTEP,Qn,1,0,Advance pinned-stream phase without transferring data,SCALAR32,B,1,1,,stream_config,stream_state,,documented,documented,documented,"AUR-ARCH-005 'Pinned Circular Streams v1.2h' addendum, explicit bit diagram: 15:12=1011, 11:8=1000, 7:4=Qn/0, 3:0=reserved(0)",
